solver,metric_1,pr_diff_1,metric_2,pr_diff_2,metric_3,pr_diff_3,metric_4,pr_diff_4
APS_A,0.941,0.045,0.940,0.105,0.942,0.065,0.945,0.060
APS_B,0.950,0.000,0.950,0.000,0.950,0.000,0.950,0.000
MCTS,0.942,0.365,0.954,0.325,0.955,0.090,0.952,0.490
SA,0.951,0.190,0.964,0.295,0.954,0.045,0.955,0.145
RME,0.941,0.750,0.953,0.750,0.947,0.770,0.945,0.750
