solver,metric_1,pr_diff_1,metric_2,pr_diff_2,metric_3,pr_diff_3,metric_4,pr_diff_4
APS_A,2.171,0.075,1.394,0.090,1.629,0.075,1.156,0.070
APS_B,2.057,0.050,1.364,0.050,1.603,0.050,1.082,0.050
MCTS,2.153,0.525,1.364,0.595,1.622,0.595,1.071,0.615
SA,2.104,0.225,1.352,0.185,1.677,0.295,1.089,0.185
RME,2.154,0.820,1.387,0.900,1.478,0.795,1.104,0.900
