diff_n_comp,res,z
5,0.7215351251474837,['01452']
5,0.7832026786789325,['01453']
4,0.7865216807191329,['01454']
5,0.7682067565944012,['01455']
4,0.10808224064490458,['01500']
4,0.1318688992962466,['01501']
4,0.13054063047845968,['01502']
4,0.1430902516225334,['01503']
3,0.13799252969741205,['01504']
4,0.1416782380636729,['01505']
4,0.22444454116324883,['01510']
4,0.5267829514896991,['01511']
4,0.5092011864178201,['01512']
4,0.613612938449047,['01513']
3,0.6009488374340444,['01514']
4,0.6036508688450233,['01515']
4,0.2011077017376093,['01520']
4,0.5420591907171864,['01521']
4,0.49901000277143376,['01522']
4,0.6305255579095267,['01523']
3,0.6061744395419367,['01524']
4,0.6355199429539204,['01525']
3,0.3186122470940933,['01530']
3,0.6558927787477276,['01531']
3,0.643798174766034,['01532']
3,0.7018378790365302,['01533']
2,0.7016417406904252,['01534']
3,0.7015421001594803,['01535']
4,0.2884002026414698,['01540']
4,0.6661539501998522,['01541']
4,0.6414629802534603,['01542']
4,0.7137578515964496,['01543']
3,0.7075389052582555,['01544']
4,0.7163689466518851,['01545']
4,0.31589530476276056,['01550']
4,0.607380908316398,['01551']
4,0.6030378679274409,['01552']
4,0.6668502509107245,['01553']
3,0.6671356435946898,['01554']
4,0.652300000899076,['01555']
5,0.005892897213492669,['02000']
5,0.005003179626677898,['02001']
5,0.006488320391568959,['02002']
5,0.006598445828132766,['02003']
4,0.006583808825896083,['02004']
5,0.008040113525835484,['02005']
5,0.008722108191041675,['02010']
5,0.019947171401429056,['02011']
5,0.024694042158684166,['02012']
5,0.02607762725361199,['02013']
4,0.038276792730831274,['02014']
5,0.026779508453295044,['02015']
5,0.008442752636821992,['02020']
5,0.024240053462493007,['02021']
5,0.02859362972871965,['02022']
5,0.03469177286952179,['02023']
4,0.025757039228210005,['02024']
5,0.02624972971439316,['02025']
4,0.01340996398728182,['02030']
4,0.027786589374716453,['02031']
4,0.02471820347563681,['02032']
4,0.031706975614954724,['02033']
3,0.03647019696242938,['02034']
4,0.037755424534180335,['02035']
5,0.01332279930247784,['02040']
5,0.026485400250805938,['02041']
5,0.031614656080643726,['02042']
5,0.046817784065529194,['02043']
4,0.0377679895710151,['02044']
5,0.037225884359840436,['02045']
5,0.013505663129345775,['02050']
5,0.03115170932549096,['02051']
5,0.021273837085196246,['02052']
5,0.032939145489664055,['02053']
4,0.03690019939714106,['02054']
5,0.026126823954717934,['02055']
5,0.030019067915869557,['02100']
5,0.043680630930297074,['02101']
5,0.04098618637236731,['02102']
5,0.04871574682780457,['02103']
4,0.05218886262437769,['02104']
5,0.05508524690523287,['02105']
5,0.08705081240840792,['02110']
5,0.29128329860857954,['02111']
5,0.2640765129379315,['02112']
5,0.3844494926261368,['02113']
4,0.36290913183157,['02114']
5,0.38312109249518833,['02115']
5,0.06730283356086081,['02120']
5,0.2713619436523787,['02121']
5,0.22662576141717938,['02122']
5,0.3716741091308919,['02123']
4,0.33777230451093315,['02124']
5,0.3821287594288424,['02125']
4,0.13046794365788375,['02130']
4,0.4318096532455087,['02131']
4,0.4017703458691819,['02132']
4,0.5057892797104526,['02133']
3,0.4914334625218171,['02134']
4,0.5026138126105281,['02135']
5,0.11116865358214154,['02140']
5,0.4122971388755097,['02141']
5,0.3697867657265335,['02142']
5,0.5014415207626509,['02143']
4,0.46665131761426154,['02144']
5,0.5146727636518807,['02145']
5,0.16488826676271195,['02150']
5,0.4016742871844183,['02151']
5,0.40139134301358986,['02152']
5,0.47935729863035004,['02153']
4,0.47186387655746737,['02154']
5,0.4585840317082549,['02155']
5,0.02392631315978236,['02200']
5,0.04184465834636305,['02201']
5,0.032732230662171416,['02202']
5,0.051298825010956395,['02203']
4,0.04289086219502087,['02204']
5,0.03885659466001118,['02205']
5,0.07919868981675912,['02210']
5,0.25857609075123406,['02211']
5,0.22406398720788787,['02212']
5,0.3540001207639665,['02213']
4,0.3257165688181192,['02214']
5,0.3540295351732699,['02215']
5,0.05274862616062404,['02220']
5,0.22241050532231862,['02221']
5,0.18352406177319075,['02222']
5,0.32707669858560007,['02223']
4,0.27799098455487165,['02224']
5,0.353811341465248,['02225']
4,0.10370256790012837,['02230']
4,0.40880447667928455,['02231']
4,0.3722539812429395,['02232']
4,0.4914260496747928,['02233']
3,0.4740717392999018,['02234']
4,0.4997737683863065,['02235']
5,0.08071648859361093,['02240']
5,0.368440998912936,['02241']
5,0.3143871578212712,['02242']
5,0.473814656778418,['02243']
4,0.44927222273731227,['02244']
5,0.48984107059891413,['02245']
5,0.16242821601154142,['02250']
5,0.4004194817242285,['02251']
5,0.39600019272193604,['02252']
5,0.4788926032639514,['02253']
4,0.4719922419396562,['02254']
5,0.45611659230949686,['02255']
5,0.06992245434428591,['02300']
5,0.09477489715049547,['02301']
5,0.09463451646443084,['02302']
5,0.106330818348092,['02303']
4,0.08786033210629741,['02304']
5,0.10719553280935691,['02305']
5,0.19454073611905418,['02310']
5,0.520813524184039,['02311']
5,0.4860970756333371,['02312']
5,0.6275560926211305,['02313']
4,0.6023371335773029,['02314']
5,0.6222986442814774,['02315']
5,0.15284844608792522,['02320']
5,0.4888208251368343,['02321']
5,0.43425604962202524,['02322']
5,0.6106986620748349,['02323']
4,0.5723904919621923,['02324']
5,0.6293489796475501,['02325']
4,0.27533748551402054,['02330']
4,0.6733092429656318,['02331']
4,0.6473920584673919,['02332']
4,0.7372037516613531,['02333']
3,0.7252835060937209,['02334']
4,0.733794290023949,['02335']
5,0.2227108558992183,['02340']
5,0.6514347442783135,['02341']
5,0.6088654393593121,['02342']
5,0.7314180928461611,['02343']
4,0.7104124184999289,['02344']
5,0.7418015569083516,['02345']
5,0.333966885869588,['02350']
5,0.6511458690580969,['02351']
5,0.6444125847478716,['02352']
5,0.7121231107656525,['02353']
4,0.7132238847412951,['02354']
5,0.697411307274034,['02355']
5,0.04923025602829578,['02400']
5,0.0799716454086761,['02401']
5,0.06849834852009624,['02402']
5,0.08282883945809348,['02403']
4,0.08738507660095286,['02404']
5,0.08369842350131225,['02405']
5,0.15608130008117463,['02410']
5,0.483804871004975,['02411']
5,0.4354566859246921,['02412']
5,0.5924153908856563,['02413']
4,0.5657859562498948,['02414']
5,0.5976801115016601,['02415']
5,0.11775137931467855,['02420']
5,0.42182837998538947,['02421']
5,0.3664854401726588,['02422']
5,0.5711464896801638,['02423']
4,0.5214940103518797,['02424']
5,0.5880150231318737,['02425']
4,0.23435349423592294,['02430']
4,0.651123450470925,['02431']
4,0.6103127131775611,['02432']
4,0.7279003625881412,['02433']
3,0.7143350046756635,['02434']
4,0.7340869487361196,['02435']
5,0.17232354697992702,['02440']
5,0.6109898307065148,['02441']
5,0.5543978055878336,['02442']
5,0.7127439407925206,['02443']
4,0.6830496293328006,['02444']
5,0.7277508485553166,['02445']
5,0.33532839638390743,['02450']
5,0.6406762614371283,['02451']
5,0.6374663898415525,['02452']
5,0.7176173635956017,['02453']
4,0.7144355841712756,['02454']
5,0.6974627245710378,['02455']
4,0.09483111656939956,['02500']
4,0.1155560266137546,['02501']
4,0.1126122560300542,['02502']
4,0.117773931154415,['02503']
3,0.11891703513875214,['02504']
4,0.1217281275829817,['02505']
4,0.20672823347612262,['02510']
4,0.4851396331580918,['02511']
4,0.46520192861141957,['02512']
4,0.5715663839340099,['02513']
3,0.5572429403973324,['02514']
4,0.557709565968821,['02515']
4,0.1792018274251269,['02520']
4,0.4932394250464372,['02521']
4,0.45817056485487784,['02522']
4,0.5954443328520993,['02523']
3,0.568786990255057,['02524']
4,0.5977598266839709,['02525']
3,0.28840292414612706,['02530']
3,0.6200259005174846,['02531']
3,0.6019847199301219,['02532']
3,0.6648153785350817,['02533']
2,0.6586380357356016,['02534']
3,0.6629832690756807,['02535']
4,0.26406844360883747,['02540']
4,0.6319643442741645,['02541']
4,0.6014485504760912,['02542']
4,0.682016322053712,['02543']
3,0.6678127652452477,['02544']
4,0.6809220651175367,['02545']
4,0.2798674860064594,['02550']
4,0.5660149976528315,['02551']
4,0.5598670850064275,['02552']
4,0.6269409369919334,['02553']
3,0.6246985311374902,['02554']
4,0.6112050046473264,['02555']
4,0.00811223193615493,['03000']
4,0.010455776481889974,['03001']
4,0.012607639260888861,['03002']
4,0.01014266064522642,['03003']
3,0.008209428475555938,['03004']
4,0.012149044056789349,['03005']
4,0.015478684136770024,['03010']
4,0.03372065230530161,['03011']
4,0.03398082493804121,['03012']
4,0.037097659896120634,['03013']
3,0.03242796568569961,['03014']
4,0.04210637313332071,['03015']
4,0.01807664478578822,['03020']
4,0.026733474785947946,['03021']
4,0.03240574828526064,['03022']
4,0.04064663679202132,['03023']
3,0.03742950839657225,['03024']
4,0.03956534458800022,['03025']
3,0.023480408292594325,['03030']
3,0.04588708417640944,['03031']
3,0.04268126622585509,['03032']
3,0.04413239005478404,['03033']
2,0.06291495878733566,['03034']
3,0.048531816157318296,['03035']
4,0.02229381875098924,['03040']
4,0.030223798774889288,['03041']
4,0.039402966396657406,['03042']
4,0.04077363446766945,['03043']
3,0.03881372981446772,['03044']
4,0.04173504235758453,['03045']
4,0.01642809998586106,['03050']
4,0.04320056989948082,['03051']
4,0.03837818814477133,['03052']
4,0.04664361555079656,['03053']
3,0.04242647047983004,['03054']
4,0.04644718270186155,['03055']
4,0.06323895803979293,['03100']
4,0.0883099140192347,['03101']
4,0.08542981293449686,['03102']
4,0.09485225613974438,['03103']
3,0.09029534438227785,['03104']
4,0.10775679535023616,['03105']
4,0.17474746809534736,['03110']
4,0.47882397237602764,['03111']
4,0.4460215219904237,['03112']
4,0.5776128930424219,['03113']
3,0.564184149046013,['03114']
4,0.5748113694581132,['03115']
4,0.14259147668237024,['03120']
4,0.4526892096975338,['03121']
4,0.40705018825915645,['03122']
4,0.576983740628379,['03123']
3,0.5387033195450858,['03124']
4,0.5908301709995799,['03125']
3,0.24937544515099835,['03130']
3,0.6303453988342276,['03131']
3,0.6048432309769708,['03132']
3,0.6962628959636938,['03133']
2,0.6816592817219332,['03134']
3,0.6907072739628839,['03135']
4,0.2050334706032631,['03140']
4,0.6127148623284914,['03141']
4,0.5720169514783261,['03142']
4,0.6907745751939054,['03143']
3,0.6744367385198095,['03144']
4,0.6988220703994618,['03145']
4,0.2987273769790123,['03150']
4,0.5957076705512685,['03151']
4,0.5905120350916909,['03152']
4,0.6639420217641941,['03153']
3,0.6599581316948706,['03154']
4,0.6494262085291089,['03155']
4,0.05091147785175267,['03200']
4,0.06944621680177863,['03201']
4,0.08081905748939039,['03202']
4,0.07731283282118429,['03203']
3,0.07311250531139465,['03204']
4,0.08455232237649878,['03205']
4,0.14956967654759706,['03210']
4,0.4606589345267082,['03211']
4,0.4233706455149444,['03212']
4,0.5785280108769059,['03213']
3,0.5521674058847109,['03214']
4,0.5766098164514678,['03215']
4,0.12201809494155187,['03220']
4,0.4159721256120719,['03221']
4,0.3532237751759933,['03222']
4,0.5514065390763125,['03223']
3,0.5078927333430487,['03224']
4,0.5703523142722597,['03225']
3,0.2181598715121578,['03230']
3,0.6340588158657422,['03231']
3,0.5979607065360772,['03232']
3,0.711924383007185,['03233']
2,0.6954293917774571,['03234']
3,0.7134095520743153,['03235']
4,0.16544410134034274,['03240']
4,0.5943484076312145,['03241']
4,0.5379752371557259,['03242']
4,0.695708783908792,['03243']
3,0.6619799518165705,['03244']
4,0.708056380868983,['03245']
4,0.3067962294187488,['03250']
4,0.6243121748471778,['03251']
4,0.614771558614668,['03252']
4,0.6949962692374484,['03253']
3,0.6937398842000845,['03254']
4,0.6769181705816337,['03255']
4,0.1487990734017319,['03300']
4,0.17704329947971764,['03301']
4,0.16794771474214618,['03302']
4,0.19509863918435008,['03303']
3,0.17619888340770576,['03304']
4,0.19509790184685114,['03305']
4,0.34006195765134134,['03310']
4,0.7168501304536401,['03311']
4,0.686506110123992,['03312']
4,0.7937597911173325,['03313']
3,0.7788232054413652,['03314']
4,0.7909622572632757,['03315']
4,0.2786126924483775,['03320']
4,0.6987954927594487,['03321']
4,0.646025428566993,['03322']
4,0.7907092426188875,['03323']
3,0.7646904265081284,['03324']
4,0.801341248432222,['03325']
3,0.4659796637266171,['03330']
3,0.8269626192897963,['03331']
3,0.8099795965727802,['03332']
3,0.8649813190533447,['03333']
2,0.8596469087445039,['03334']
3,0.8616803784189433,['03335']
4,0.3956039087522394,['03340']
4,0.8169836663883397,['03341']
4,0.7865194745075008,['03342']
4,0.864003385208846,['03343']
3,0.853282841836398,['03344']
4,0.8668824007993304,['03345']
4,0.5270270145961904,['03350']
4,0.8037784531510588,['03351']
4,0.8038477122469161,['03352']
4,0.8472958723037729,['03353']
3,0.8454706546623793,['03354']
4,0.835578265340009,['03355']
4,0.12026160519566195,['03400']
4,0.1509736979412644,['03401']
4,0.13255784371875376,['03402']
4,0.15722903905393912,['03403']
3,0.1543154313574778,['03404']
4,0.16250594482629008,['03405']
4,0.3054958202200837,['03410']
4,0.7030107807038815,['03411']
4,0.6619447734320051,['03412']
4,0.7932789033762617,['03413']
3,0.7743013279223318,['03414']
4,0.795224804249854,['03415']
4,0.233113396492953,['03420']
4,0.65664070051763,['03421']
4,0.5968574653581029,['03422']
4,0.7709776933173376,['03423']
3,0.7389376723566736,['03424']
4,0.7874864539820079,['03425']
3,0.41639645847110196,['03430']
3,0.8263148133491818,['03431']
3,0.8061454900332651,['03432']
3,0.8752296358576176,['03433']
2,0.8654204281236564,['03434']
3,0.8726530012183515,['03435']
4,0.33531830767003123,['03440']
4,0.8048435916951928,['03441']
4,0.7670120825703964,['03442']
4,0.8655750060839713,['03443']
3,0.8490236173880997,['03444']
4,0.8718838492842681,['03445']
4,0.5396691313611791,['03450']
4,0.8212071187074235,['03451']
4,0.8187301249052341,['03452']
4,0.8625016907986119,['03453']
3,0.8632847318529491,['03454']
4,0.8527336777954613,['03455']
3,0.16099603707268426,['03500']
3,0.19119548176781517,['03501']
3,0.18799640347138963,['03502']
3,0.19420302354535426,['03503']
2,0.19167802724188798,['03504']
3,0.2076196989395273,['03505']
3,0.32244711938633736,['03510']
3,0.6524703947050378,['03511']
3,0.6351548287896085,['03512']
3,0.7262629718614046,['03513']
2,0.7177147287812574,['03514']
3,0.7172078041638538,['03515']
3,0.2907614904453891,['03520']
3,0.6625443582248322,['03521']
3,0.6292128359020065,['03522']
3,0.7427033040360733,['03523']
2,0.7262748781910282,['03524']
3,0.7438690463507411,['03525']
2,0.43471772393564534,['03530']
2,0.7640732627889493,['03531']
2,0.7522257432820417,['03532']
2,0.8015103580002417,['03533']
1,0.7993212405928316,['03534']
2,0.7979256999423487,['03535']
3,0.39846384227444104,['03540']
3,0.7716548894944903,['03541']
3,0.7500887242150471,['03542']
3,0.8095098368109834,['03543']
2,0.8007259689923613,['03544']
3,0.8093177087729897,['03545']
3,0.42799821803109367,['03550']
3,0.7192678405925704,['03551']
3,0.7168466619103608,['03552']
3,0.773213222812509,['03553']
2,0.7692943406595197,['03554']
3,0.7570438364180906,['03555']
5,0.00774665910116843,['04000']
5,0.00736528305292104,['04001']
5,0.008949003731380792,['04002']
5,0.0050856168471039125,['04003']
4,0.008132926203329649,['04004']
5,0.007930600985583193,['04005']
5,0.012284020890779101,['04010']
5,0.033385180487682714,['04011']
5,0.032072943786478535,['04012']
5,0.03750056610742427,['04013']
4,0.03215054229112945,['04014']
