w1_values,w2_values,res,z_star_arr
0.1,0.1,0.9456414374415014,['43534']
1.1152542372881356,0.1,0.07825388696166945,['43034']
2.130508474576271,0.1,0.027103366307516957,['43004']
3.1457627118644065,0.1,0.02073727304818943,['43004']
4.1610169491525415,0.1,0.024668728896949852,['43004']
5.176271186440677,0.1,0.004572921749595292,['40004']
6.191525423728812,0.1,0.003688090021629355,['40004']
7.206779661016948,0.1,0.005620570815069348,['40004']
8.222033898305083,0.1,0.005002321513664977,['40004']
9.23728813559322,0.1,0.0048395816333475705,['40004']
10.252542372881354,0.1,0.003142113447785843,['40004']
11.267796610169489,0.1,0.0043455598944854585,['40004']
12.283050847457625,0.1,0.00589904567754024,['40004']
13.298305084745762,0.1,0.004382925475781684,['40004']
14.313559322033896,0.1,0.0044242883583421036,['40004']
15.32881355932203,0.1,0.0029952525167360696,['40004']
16.34406779661017,0.1,0.003868442677543615,['40004']
17.359322033898305,0.1,0.0033979956950624174,['40004']
18.37457627118644,0.1,0.0024579372984128442,['40004']
19.389830508474574,0.1,0.003702790228819112,['40004']
20.40508474576271,0.1,0.004689775523635238,['40004']
21.420338983050847,0.1,0.00422789750403841,['40004']
22.43559322033898,0.1,0.00592141038940572,['40004']
23.450847457627116,0.1,0.005301417569503321,['40004']
24.466101694915253,0.1,0.004802229912476701,['40004']
25.48135593220339,0.1,0.0035681792491009637,['40004']
26.496610169491525,0.1,0.0023669524610818804,['40004']
27.511864406779658,0.1,0.00385359970087168,['40004']
28.527118644067794,0.1,0.004057247716966828,['40004']
29.54237288135593,0.1,0.0034318836089968817,['40004']
30.557627118644064,0.1,0.003794436643567151,['40004']
31.5728813559322,0.1,0.0050272789370869155,['40004']
32.588135593220336,0.1,0.006095947877050989,['40004']
33.60338983050847,0.1,0.003791515486644169,['40004']
34.61864406779661,0.1,0.005203291393838232,['40004']
35.63389830508474,0.1,0.0025793854483986732,['40004']
36.64915254237288,0.1,0.0034169781923704505,['40004']
37.664406779661014,0.1,0.0025479949261796005,['40004']
38.67966101694915,0.1,0.002950489104852756,['40004']
39.69491525423729,0.1,0.005569385075786382,['40004']
40.71016949152542,0.1,0.00398209721796994,['40004']
41.72542372881355,0.1,0.0030652112639681186,['40004']
42.74067796610169,0.1,0.0036237384559971056,['40004']
43.755932203389825,0.1,0.002582740378525985,['40004']
44.77118644067796,0.1,0.00797696783828369,['40004']
45.7864406779661,0.1,0.0049527691344881455,['40004']
46.80169491525423,0.1,0.006386210137766509,['40004']
47.81694915254237,0.1,0.0029838482128364415,['40004']
48.832203389830504,0.1,0.006313335929327697,['40004']
49.84745762711864,0.1,0.004477941372092688,['40004']
50.862711864406776,0.1,0.005623177984951,['40004']
51.87796610169491,0.1,0.0033794605150551547,['40004']
52.89322033898305,0.1,0.004605589097681607,['40004']
53.90847457627118,0.1,0.0035436585477900584,['40004']
54.923728813559315,0.1,0.003539448828605406,['40004']
55.938983050847455,0.1,0.0028635791419774187,['40004']
56.95423728813559,0.1,0.003535623964779002,['40004']
57.96949152542372,0.1,0.00534648395130209,['40004']
58.98474576271186,0.1,0.005311554825733571,['40004']
60.0,0.1,0.004026102352887741,['40004']
0.1,1.1152542372881356,0.9456414374415014,['43534']
1.1152542372881356,1.1152542372881356,0.9456414374415014,['43534']
2.130508474576271,1.1152542372881356,0.08007230949936303,['43034']
3.1457627118644065,1.1152542372881356,0.07825388696166946,['43034']
4.1610169491525415,1.1152542372881356,0.0709801968108952,['43034']
5.176271186440677,1.1152542372881356,0.07825388696166945,['43034']
6.191525423728812,1.1152542372881356,0.08461836584359694,['43034']
7.206779661016948,1.1152542372881356,0.07825388696166945,['43034']
8.222033898305083,1.1152542372881356,0.08916442218783087,['43034']
9.23728813559322,1.1152542372881356,0.09098284472552443,['43034']
10.252542372881354,1.1152542372881356,0.08007230949936303,['43034']
11.267796610169489,1.1152542372881356,0.08370915457475016,['43034']
12.283050847457625,1.1152542372881356,0.08007230949936303,['43034']
13.298305084745762,1.1152542372881356,0.08461836584359696,['43034']
14.313559322033896,1.1152542372881356,0.08552757711244374,['43034']
15.32881355932203,1.1152542372881356,0.07643546442397589,['43034']
16.34406779661017,1.1152542372881356,0.07825388696166946,['43034']
17.359322033898305,1.1152542372881356,0.07007098554204841,['43034']
18.37457627118644,1.1152542372881356,0.07734467569282268,['43034']
19.389830508474574,1.1152542372881356,0.08552757711244374,['43034']
20.40508474576271,1.1152542372881356,0.0818907320370566,['43034']
21.420338983050847,1.1152542372881356,0.021813974801938037,['43004']
22.43559322033898,1.1152542372881356,0.02807513313015352,['43004']
23.450847457627116,1.1152542372881356,0.024157981133156595,['43004']
24.466101694915253,1.1152542372881356,0.03219665962466705,['43004']
25.48135593220339,1.1152542372881356,0.031145629412093433,['43004']
26.496610169491525,1.1152542372881356,0.02952864520956447,['43004']
27.511864406779658,1.1152542372881356,0.0276530072648169,['43004']
28.527118644067794,1.1152542372881356,0.024760286957758497,['43004']
29.54237288135593,1.1152542372881356,0.025570590838168955,['43004']
30.557627118644064,1.1152542372881356,0.03289414706836955,['43004']
31.5728813559322,1.1152542372881356,0.02431611310953883,['43004']
32.588135593220336,1.1152542372881356,0.029014961283419214,['43004']
33.60338983050847,1.1152542372881356,0.022598607141173496,['43004']
34.61864406779661,1.1152542372881356,0.026564010840196696,['43004']
35.63389830508474,1.1152542372881356,0.022876904881891376,['43004']
36.64915254237288,1.1152542372881356,0.023481219887385184,['43004']
37.664406779661014,1.1152542372881356,0.029989132090439543,['43004']
38.67966101694915,1.1152542372881356,0.023294085403984085,['43004']
39.69491525423729,1.1152542372881356,0.026021719210524433,['43004']
40.71016949152542,1.1152542372881356,0.02566910342311341,['43004']
41.72542372881355,1.1152542372881356,0.02660932637987097,['43004']
42.74067796610169,1.1152542372881356,0.025656808752241824,['43004']
43.755932203389825,1.1152542372881356,0.02622075356130527,['43004']
44.77118644067796,1.1152542372881356,0.018810979417031807,['43004']
