exp,att,solver,hyp,comb,flag,diff
3,attr,APS,APS_A,1,mean,17.5
3,attr,APS,APS_B,1,mean,1.3
3,attr,APS,APS_A,2,mean,0.9
3,attr,APS,APS_B,2,mean,0.2
3,attr,APS,APS_A,3,mean,3.1
3,attr,APS,APS_B,3,mean,3.0
3,attr,APS,APS_A,4,mean,1.3
3,attr,APS,APS_B,4,mean,1.2
3,rep,APS,APS_A,1,mean,16.2
3,rep,APS,APS_B,1,mean,1.1
3,rep,APS,APS_A,2,mean,1.0
3,rep,APS,APS_B,2,mean,1.0
3,rep,APS,APS_A,3,mean,1.0
3,rep,APS,APS_B,3,mean,1.0
3,rep,APS,APS_A,4,mean,1.0
3,rep,APS,APS_B,4,mean,1.0
3,dd,APS,APS_A,1,mean,19.6
3,dd,APS,APS_B,1,mean,1.0
3,dd,APS,APS_A,2,mean,1.0
3,dd,APS,APS_B,2,mean,1.0
3,dd,APS,APS_A,3,mean,2.1
3,dd,APS,APS_B,3,mean,2.0
3,dd,APS,APS_A,4,mean,1.0
3,dd,APS,APS_B,4,mean,1.0
3,pd,APS,APS_A,1,mean,24.5
3,pd,APS,APS_B,1,mean,2.4
3,pd,APS,APS_A,2,mean,5.7
3,pd,APS,APS_B,2,mean,0.3
3,pd,APS,APS_A,3,mean,3.4
3,pd,APS,APS_B,3,mean,2.8
3,pd,APS,APS_A,4,mean,0.0
3,pd,APS,APS_B,4,mean,0.0
3,attr,MCTS,MCTS_A,1,mean,23.0
3,attr,MCTS,MCTS_B,1,mean,23.2
3,attr,MCTS,MCTS_C,1,mean,23.6
3,attr,MCTS,MCTS_D,1,mean,22.7
3,attr,MCTS,MCTS_E,1,mean,23.4
3,attr,MCTS,MCTS_F,1,mean,25.4
3,attr,MCTS,MCTS_A,2,mean,17.2
3,attr,MCTS,MCTS_B,2,mean,17.4
3,attr,MCTS,MCTS_C,2,mean,15.5
3,attr,MCTS,MCTS_D,2,mean,18.5
3,attr,MCTS,MCTS_E,2,mean,15.0
3,attr,MCTS,MCTS_F,2,mean,15.9
3,attr,MCTS,MCTS_A,3,mean,5.3
3,attr,MCTS,MCTS_B,3,mean,4.2
3,attr,MCTS,MCTS_C,3,mean,6.2
3,attr,MCTS,MCTS_D,3,mean,6.5
