z,t,k,N1,N2,utl1,utl2
['00245'],3,100,10000,5000,1.8786688883869105,1.0
['00250'],3,100,10000,5000,2.86007699103843,1.0
['00251'],3,100,10000,5000,2.045645320934807,1.0
['00252'],3,100,10000,5000,2.084218840906385,1.0
['00253'],3,100,10000,5000,1.8835447501968738,1.0
['00254'],3,100,10000,5000,1.8963197034321209,2.0
['00255'],3,100,10000,5000,1.9133086274035216,1.0
['00300'],3,100,10000,5000,3.618581301186612,1.0
['00301'],3,100,10000,5000,3.368218597068222,1.0
['00302'],3,100,10000,5000,3.392422682278677,1.0
['00303'],3,100,10000,5000,3.318550666894645,1.0
['00304'],3,100,10000,5000,3.3460520374820537,2.0
['00305'],3,100,10000,5000,3.2738377143471578,1.0
['00310'],3,100,10000,5000,2.6121125194991626,1.0
['00311'],3,100,10000,5000,1.7579643677050902,1.0
['00312'],3,100,10000,5000,1.8029655962410804,1.0
['00313'],3,100,10000,5000,1.5877360908152227,1.0
['00314'],3,100,10000,5000,1.611536873673195,2.0
['00315'],3,100,10000,5000,1.584754398514046,1.0
['00320'],3,100,10000,5000,2.800905797500536,1.0
['00321'],3,100,10000,5000,1.8001461504687137,1.0
['00322'],3,100,10000,5000,1.8962310243146931,1.0
['00323'],3,100,10000,5000,1.6130218300338874,1.0
['00324'],3,100,10000,5000,1.658166859116788,2.0
['00325'],3,100,10000,5000,1.57882918719984,1.0
['00330'],3,100,10000,5000,2.333284187659084,2.0
['00331'],3,100,10000,5000,1.5112110543185773,2.0
['00332'],3,100,10000,5000,1.559687247077316,2.0
['00333'],3,100,10000,5000,1.4148737091524042,2.0
['00334'],3,100,10000,5000,1.4256281501444172,3.0
['00335'],3,100,10000,5000,1.4101216795021636,2.0
['00340'],3,100,10000,5000,2.4771592707046346,1.0
['00341'],3,100,10000,5000,1.5232562496714315,1.0
['00342'],3,100,10000,5000,1.586978314951169,1.0
['00343'],3,100,10000,5000,1.4199119318117954,1.0
['00344'],3,100,10000,5000,1.4518485845911713,2.0
['00345'],3,100,10000,5000,1.4032428999840092,1.0
['00350'],3,100,10000,5000,2.1874416592518298,1.0
['00351'],3,100,10000,5000,1.5400639181782123,1.0
['00352'],3,100,10000,5000,1.5500280851136317,1.0
['00353'],3,100,10000,5000,1.4382418812559297,1.0
['00354'],3,100,10000,5000,1.4436021741651506,2.0
['00355'],3,100,10000,5000,1.4583071728809656,1.0
['00400'],3,100,10000,5000,3.9598780652798466,1.0
['00401'],3,100,10000,5000,3.67504014594814,1.0
['00402'],3,100,10000,5000,3.6585572998645395,1.0
['00403'],3,100,10000,5000,3.587147552827747,1.0
['00404'],3,100,10000,5000,3.599188187834989,2.0
['00405'],3,100,10000,5000,3.5279798347089755,1.0
['00410'],3,100,10000,5000,2.815054940824468,1.0
['00411'],3,100,10000,5000,1.8868226515965394,1.0
['00412'],3,100,10000,5000,1.9423268610663702,1.0
['00413'],3,100,10000,5000,1.6802169732965426,1.0
['00414'],3,100,10000,5000,1.7150256101236212,2.0
['00415'],3,100,10000,5000,1.6721757471770193,1.0
['00420'],3,100,10000,5000,3.06576417696697,1.0
['00421'],3,100,10000,5000,1.9582472852953585,1.0
['00422'],3,100,10000,5000,2.08573817852788,1.0
['00423'],3,100,10000,5000,1.7255258273170628,1.0
['00424'],3,100,10000,5000,1.8067494411521383,2.0
['00425'],3,100,10000,5000,1.7005475515670008,1.0
['00430'],3,100,10000,5000,2.505456536767585,2.0
['00431'],3,100,10000,5000,1.5884451202647598,2.0
['00432'],3,100,10000,5000,1.6350100200113185,2.0
['00433'],3,100,10000,5000,1.4635958254738946,2.0
['00434'],3,100,10000,5000,1.4927406724675758,3.0
['00435'],3,100,10000,5000,1.4632071616495304,2.0
['00440'],3,100,10000,5000,2.7283340830105853,1.0
['00441'],3,100,10000,5000,1.6476153041576973,1.0
['00442'],3,100,10000,5000,1.7243430538190874,1.0
['00443'],3,100,10000,5000,1.4945751944000571,1.0
['00444'],3,100,10000,5000,1.5552218763772532,2.0
['00445'],3,100,10000,5000,1.4804950094676441,1.0
['00450'],3,100,10000,5000,2.2984247126887345,1.0
['00451'],3,100,10000,5000,1.597174648528067,1.0
['00452'],3,100,10000,5000,1.6226620587748721,1.0
['00453'],3,100,10000,5000,1.4807951498383782,1.0
['00454'],3,100,10000,5000,1.4933090370160886,2.0
['00455'],3,100,10000,5000,1.5021880847253717,1.0
['00500'],3,100,10000,5000,3.3088969955290244,2.0
['00501'],3,100,10000,5000,3.071985118405671,2.0
['00502'],3,100,10000,5000,3.096884549926702,2.0
['00503'],3,100,10000,5000,3.042271814767504,2.0
['00504'],3,100,10000,5000,3.0706930471017824,3.0
['00505'],3,100,10000,5000,3.0423366194922172,2.0
['00510'],3,100,10000,5000,2.5061628708004173,2.0
['00511'],3,100,10000,5000,1.769018627679543,2.0
['00512'],3,100,10000,5000,1.7957619408828007,2.0
['00513'],3,100,10000,5000,1.6217892850541007,2.0
['00514'],3,100,10000,5000,1.6251495533402174,3.0
['00515'],3,100,10000,5000,1.6373212387926177,2.0
['00520'],3,100,10000,5000,2.597867246425701,2.0
['00521'],3,100,10000,5000,1.741095594517621,2.0
['00522'],3,100,10000,5000,1.80739406045519,2.0
['00523'],3,100,10000,5000,1.5891053975128993,2.0
['00524'],3,100,10000,5000,1.6133218515424859,3.0
['00525'],3,100,10000,5000,1.597245551542767,2.0
['00530'],3,100,10000,5000,2.2270137314502594,3.0
['00531'],3,100,10000,5000,1.5404563807925598,3.0
['00532'],3,100,10000,5000,1.5719955084628388,3.0
['00533'],3,100,10000,5000,1.4683700663581432,3.0
['00534'],3,100,10000,5000,1.466861414928677,4.0
['00535'],3,100,10000,5000,1.4687150245658558,3.0
['00540'],3,100,10000,5000,2.296700682195676,2.0
['00541'],3,100,10000,5000,1.5302414433900253,2.0
['00542'],3,100,10000,5000,1.5649138658661588,2.0
['00543'],3,100,10000,5000,1.4461343409924838,2.0
['00544'],3,100,10000,5000,1.4642088508804432,3.0
['00545'],3,100,10000,5000,1.4462630664261147,2.0
['00550'],3,100,10000,5000,2.246512808159571,2.0
['00551'],3,100,10000,5000,1.6245042223349313,2.0
['00552'],3,100,10000,5000,1.6306309733512478,2.0
['00553'],3,100,10000,5000,1.5287780181550448,2.0
['00554'],3,100,10000,5000,1.5271891188856863,3.0
['00555'],3,100,10000,5000,1.5555802979596793,2.0
['01000'],3,100,10000,5000,13.629075608872366,1.0
['01001'],3,100,10000,5000,13.371074342001265,1.0
['01002'],3,100,10000,5000,13.473799960720784,1.0
['01003'],3,100,10000,5000,13.104288821524712,1.0
['01004'],3,100,10000,5000,13.103836416236897,2.0
['01005'],3,100,10000,5000,13.048643947210726,1.0
['01010'],3,100,10000,5000,12.437413354223366,1.0
['01011'],3,100,10000,5000,11.258277835543598,1.0
['01012'],3,100,10000,5000,11.367499060661862,1.0
['01013'],3,100,10000,5000,10.835674910409173,1.0
['01014'],3,100,10000,5000,11.138898501386807,2.0
['01015'],3,100,10000,5000,10.800718348100684,1.0
['01020'],3,100,10000,5000,12.681728000512557,1.0
['01021'],3,100,10000,5000,11.42640455913951,1.0
['01022'],3,100,10000,5000,11.980396169286275,1.0
['01023'],3,100,10000,5000,11.086626715517449,1.0
['01024'],3,100,10000,5000,11.20444324978304,2.0
['01025'],3,100,10000,5000,10.832061939880983,1.0
['01030'],3,100,10000,5000,12.087860773027815,2.0
['01031'],3,100,10000,5000,10.69000047458575,2.0
['01032'],3,100,10000,5000,10.746581655892658,2.0
['01033'],3,100,10000,5000,10.525347379164739,2.0
['01034'],3,100,10000,5000,10.446908251815573,3.0
['01035'],3,100,10000,5000,10.333108034338634,2.0
['01040'],3,100,10000,5000,12.067000203085806,1.0
['01041'],3,100,10000,5000,10.906478815619431,1.0
['01042'],3,100,10000,5000,10.883640794291814,1.0
['01043'],3,100,10000,5000,10.462222736116571,1.0
['01044'],3,100,10000,5000,10.727987291151225,2.0
['01045'],3,100,10000,5000,10.377132997920004,1.0
['01050'],3,100,10000,5000,11.59648896361054,1.0
['01051'],3,100,10000,5000,10.603272597268862,1.0
['01052'],3,100,10000,5000,10.674481324010952,1.0
['01053'],3,100,10000,5000,10.46766179288825,1.0
['01054'],3,100,10000,5000,10.385793831247959,2.0
['01055'],3,100,10000,5000,10.519022106140666,1.0
['01100'],3,100,10000,5000,3.27721974014549,1.0
['01101'],3,100,10000,5000,3.0520973338712096,1.0
['01102'],3,100,10000,5000,3.0396886513422867,1.0
['01103'],3,100,10000,5000,2.9642828926711493,1.0
['01104'],3,100,10000,5000,3.0182236989958446,2.0
['01105'],3,100,10000,5000,2.93347283974716,1.0
['01110'],3,100,10000,5000,2.345188410617523,1.0
['01111'],3,100,10000,5000,1.6083068098428928,1.0
['01112'],3,100,10000,5000,1.6389799337965971,1.0
['01113'],3,100,10000,5000,1.456134108381405,1.0
['01114'],3,100,10000,5000,1.4721688676787938,2.0
['01115'],3,100,10000,5000,1.4613190354484775,1.0
['01120'],3,100,10000,5000,2.478999560733864,1.0
['01121'],3,100,10000,5000,1.6138666122317662,1.0
['01122'],3,100,10000,5000,1.6815603052967039,1.0
['01123'],3,100,10000,5000,1.4437984795307457,1.0
['01124'],3,100,10000,5000,1.485759332316475,2.0
['01125'],3,100,10000,5000,1.4283357381741757,1.0
['01130'],3,100,10000,5000,2.0593047531362467,2.0
['01131'],3,100,10000,5000,1.3759072495584754,2.0
['01132'],3,100,10000,5000,1.3952311792073468,2.0
['01133'],3,100,10000,5000,1.292028228611208,2.0
['01134'],3,100,10000,5000,1.2997174140153749,3.0
['01135'],3,100,10000,5000,1.2947353158364487,2.0
['01140'],3,100,10000,5000,2.192808700471912,1.0
