untainted data,tainted data,att_str,solver,comb_num,w1,w2,t,state,k,c,solver_1
0.0002,0.2596,atr,SA,2,20,1,17,4,100,1,SA
0.0002,0.2538,atr,APS,2,20,1,17,4,100,1,APS_A
0.0002,0.2471,atr,APS,2,20,1,17,4,100,1,APS_B
0.0002,0.1618,atr,MCTS,2,20,1,17,4,100,1,MCTS
0.0002,0.1564,atr,RME,2,20,1,17,4,100,1,RME
