untainted data,tainted data,att_str,solver,comb_num,w1,w2,t,state,k,c,solver_1
0.0002,0.1329,atr,SA,4,20,1,17,4,100,1,SA
0.0002,0.121,atr,APS,4,20,1,17,4,100,1,APS_A
0.0002,0.1268,atr,APS,4,20,1,17,4,100,1,APS_B
0.0002,0.1164,atr,MCTS,4,20,1,17,4,100,1,MCTS
0.0002,0.0769,atr,RME,4,20,1,17,4,100,1,RME
