ratio,res,res_std_plus,res_std_minus,z_star_arr
0.1,0.0,0.0,0.0,['43534']
0.2,2.2648056089700908,2.3019672544934657,2.227643963446716,['43034']
0.30000000000000004,2.29447026409961,2.3311393857585285,2.257801142440692,['43034']
0.4,7.3522965526750035,7.462238389254745,7.242354716095262,['40004']
0.5,7.292890626863402,7.403299533413396,7.182481720313408,['40004']
0.6,7.408608494635723,7.5186548627163,7.2985621265551455,['40004']
0.7000000000000001,7.3032160523759,7.414238141129706,7.192193963622094,['40004']
0.8,7.242278425620012,7.353707179025492,7.130849672214532,['40004']
0.9,7.268008878954465,7.3789797786577935,7.157037979251136,['40004']
1.0,7.352841435735195,7.463544909279117,7.242137962191274,['40004']
1.1,7.438941605887576,7.548379812056928,7.329503399718225,['40004']
1.2000000000000002,7.363745402582295,7.473391433044006,7.254099372120584,['40004']
1.3000000000000003,7.3557220311872396,7.465403211682274,7.246040850692205,['40004']
1.4000000000000001,7.336479547675816,7.4470998496255865,7.225859245726045,['40004']
1.5000000000000002,7.230926208507987,7.341441381249211,7.120411035766763,['40004']
1.6,7.221940102751968,7.331924430157717,7.111955775346218,['40004']
1.7000000000000002,7.351473973527222,7.461372339784485,7.241575607269959,['40004']
1.8000000000000003,7.277199113671205,7.386692700488625,7.167705526853785,['40004']
1.9000000000000001,7.3632016075273246,7.473626847030957,7.252776368023692,['40004']
2.0,8.149284664305169,8.256168479848633,8.042400848761705,['00000']
2.1,8.19481210345193,8.30126878034114,8.088355426562721,['00000']
2.2,8.179585682615695,8.285040786819655,8.074130578411735,['00000']
2.3000000000000003,8.192897963084596,8.298419358629657,8.087376567539534,['00000']
2.4000000000000004,8.2048792008211,8.310029642031875,8.099728759610326,['00000']
2.5000000000000004,8.139620951737284,8.24611684869119,8.033125054783376,['00000']
2.6,8.155805853891419,8.262001452164613,8.049610255618225,['00000']
2.7,8.116189934714413,8.223202716631175,8.009177152797651,['00000']
2.8000000000000003,8.23454199742797,8.339853379450805,8.129230615405135,['00000']
2.9000000000000004,8.223481514019202,8.32942340727844,8.117539620759963,['00000']
3.0000000000000004,8.056175895257299,8.163879090492888,7.9484727000217115,['00000']
3.1,8.19290449311148,8.298134359597677,8.087674626625281,['00000']
3.2,8.203778490043941,8.310053965854259,8.097503014233624,['00000']
3.3000000000000003,8.122495067809268,8.228708080387902,8.016282055230635,['00000']
3.4000000000000004,8.203781352876021,8.30887102059656,8.098691685155481,['00000']
3.5000000000000004,8.156223022272545,8.263098067502094,8.049347977042997,['00000']
3.6,8.156370204983604,8.26228475818279,8.050455651784418,['00000']
3.7,8.16013590961444,8.265453178718497,8.054818640510382,['00000']
3.8000000000000003,8.249806912553305,8.355360180586104,8.144253644520507,['00000']
