diff_n_comp,res,z
5,0.9410756742664754,['00000']
5,0.9412700118937019,['00001']
5,0.937138563060702,['00002']
5,0.9366281126463928,['00003']
4,0.9389664225547254,['00004']
5,0.9369825790499757,['00005']
5,0.9281045568351175,['00010']
5,0.9184035491864655,['00011']
5,0.9226859743578778,['00012']
5,0.9167954997169881,['00013']
4,0.9161913961535131,['00014']
5,0.9109998797422045,['00015']
5,0.937339444470789,['00020']
5,0.9247117407674977,['00021']
5,0.9330943706460232,['00022']
5,0.9264969815460461,['00023']
4,0.9253868941034133,['00024']
5,0.917501580628874,['00025']
4,0.928024100178646,['00030']
4,0.9113695461141486,['00031']
4,0.9124666173125242,['00032']
4,0.9053757917964426,['00033']
3,0.9058087651998216,['00034']
4,0.898329760342802,['00035']
5,0.9380444094722419,['00040']
5,0.9247911664863583,['00041']
5,0.9260210805194494,['00042']
5,0.9156004583422127,['00043']
4,0.9184564010175491,['00044']
5,0.9053167391222436,['00045']
5,0.9097489938111563,['00050']
5,0.9001275393733394,['00051']
5,0.9011728010573261,['00052']
5,0.8933311867037642,['00053']
4,0.8930128874031737,['00054']
5,0.895975898734359,['00055']
5,0.7153101932982366,['00100']
5,0.6945977431670777,['00101']
5,0.7003852389203418,['00102']
5,0.6882171003531633,['00103']
4,0.6946604409097907,['00104']
5,0.6790852506358642,['00105']
5,0.5956157962271779,['00110']
5,0.4378145476853341,['00111']
5,0.47322567944747823,['00112']
5,0.3663834978672963,['00113']
4,0.3949697972006627,['00114']
5,0.35135011545693823,['00115']
5,0.6668116168256076,['00120']
5,0.5188567638897256,['00121']
5,0.5627321324730336,['00122']
5,0.43188417329577133,['00123']
4,0.47218353575168914,['00124']
5,0.4016426344347342,['00125']
4,0.5669429044133462,['00130']
4,0.34161744132570976,['00131']
4,0.3785293017820176,['00132']
4,0.2732710962788048,['00133']
3,0.2957834387850594,['00134']
4,0.26662295429584026,['00135']
5,0.6463086049845533,['00140']
5,0.40513349020083017,['00141']
5,0.45244728723046335,['00142']
5,0.31174466209236007,['00143']
4,0.34584367063822075,['00144']
5,0.29160633535942854,['00145']
5,0.39574080609253853,['00150']
5,0.29427340146403397,['00151']
5,0.2972982804464043,['00152']
5,0.25682972274633314,['00153']
4,0.25629784035585185,['00154']
5,0.26557182040638544,['00155']
5,0.8760785440165139,['00200']
5,0.8612569062588776,['00201']
5,0.8718514389763268,['00202']
5,0.8523190647170527,['00203']
4,0.8597435662278536,['00204']
5,0.8504416997151256,['00205']
5,0.8155643641309122,['00210']
5,0.6896970887215828,['00211']
5,0.7179692189308056,['00212']
5,0.6167560479357632,['00213']
4,0.6441070033334765,['00214']
5,0.6070795585690243,['00215']
5,0.8471885061257901,['00220']
5,0.7448976421503851,['00221']
5,0.7786513270883997,['00222']
5,0.6707332209392692,['00223']
4,0.7023316139790381,['00224']
5,0.6421435450321699,['00225']
4,0.7952985315332438,['00230']
4,0.5852154848396113,['00231']
4,0.6240537325846379,['00232']
4,0.5063215546650119,['00233']
3,0.5292292021661686,['00234']
4,0.49685049125708863,['00235']
5,0.8325351263456785,['00240']
5,0.6394379222551748,['00241']
5,0.6844973828293552,['00242']
5,0.5457132174379172,['00243']
4,0.5855367393774209,['00244']
5,0.5217135264819166,['00245']
5,0.6740260953174536,['00250']
5,0.5437870201302141,['00251']
5,0.5497686921716397,['00252']
5,0.4875913766280853,['00253']
4,0.49353234977858085,['00254']
5,0.5036892394476862,['00255']
5,0.703627656986239,['00300']
5,0.680578477531568,['00301']
5,0.6886193961851658,['00302']
5,0.6697962790016616,['00303']
4,0.6772585413650412,['00304']
5,0.6593383857949975,['00305']
5,0.5633747606041536,['00310']
5,0.34943422195458507,['00311']
5,0.3886181466565652,['00312']
5,0.26687752699029677,['00313']
4,0.29432254706548183,['00314']
5,0.2582813691323629,['00315']
5,0.6392339009823181,['00320']
5,0.4261524161102279,['00321']
5,0.4753402269129012,['00322']
5,0.31894707137874717,['00323']
4,0.36216921736026914,['00324']
5,0.2921874633123233,['00325']
4,0.5223573454140893,['00330']
4,0.23738006880869789,['00331']
4,0.2736944678731515,['00332']
4,0.1737293633333729,['00333']
3,0.19026209890495152,['00334']
4,0.17090951694473974,['00335']
5,0.6032511892147668,['00340']
5,0.28986825428542207,['00341']
5,0.33470537889692703,['00342']
5,0.2002814544516705,['00343']
4,0.2298932034662171,['00344']
5,0.18624350602657286,['00345']
5,0.3508598942531467,['00350']
5,0.20798082680649058,['00351']
5,0.21396374280608516,['00352']
5,0.16907917561196856,['00353']
4,0.17148002853003796,['00354']
5,0.17870979166400952,['00355']
5,0.8637345438749435,['00400']
5,0.8443236383495121,['00401']
5,0.8482165505893383,['00402']
5,0.8355415315204787,['00403']
4,0.8340822829331137,['00404']
5,0.8348549506219554,['00405']
5,0.7814945003479215,['00410']
5,0.5672871497245268,['00411']
5,0.6166656806568017,['00412']
5,0.4648723387849496,['00413']
4,0.5008481404924051,['00414']
5,0.4585516800874153,['00415']
5,0.8215514293035274,['00420']
5,0.6378372468566165,['00421']
5,0.6840460094717167,['00422']
