ratio,res,res_std_plus,res_std_minus,z_star_arr
0.05,1.0,1.0,1.0,['43534']
0.15000000000000002,1.0,1.0,1.0,['43534']
0.25000000000000006,1.0,1.0,1.0,['43534']
0.35000000000000003,1.0,1.0,1.0,['43534']
0.45000000000000007,1.0,1.0,1.0,['43534']
0.5500000000000002,1.0,1.0,1.0,['43534']
0.6500000000000001,1.0,1.0,1.0,['43534']
0.7500000000000002,1.0,1.0,1.0,['43534']
0.8500000000000002,1.0,1.0,1.0,['43534']
0.9500000000000002,0.6971999999999998,0.7080502829456192,0.6863497170543804,['43034']
1.0500000000000003,0.6988,0.7097102813895885,0.6878897186104115,['43034']
1.1500000000000004,0.6959999999999997,0.7068044435303256,0.6851955564696739,['43034']
1.2500000000000002,0.7023999999999999,0.713440695630258,0.6913593043697418,['43034']
1.3500000000000003,0.6631999999999999,0.6705336921124355,0.6558663078875643,['40034']
1.4500000000000004,0.6663999999999999,0.6741125974872282,0.6586874025127716,['40034']
1.5500000000000003,0.6576,0.6647224265527978,0.6504775734472021,['40034']
1.6500000000000004,0.6683999999999999,0.6760841238928064,0.6607158761071934,['40034']
1.7500000000000004,0.6619999999999999,0.6691094303569273,0.6548905696430726,['40034']
1.8500000000000003,0.6577999999999999,0.6648368060936762,0.6507631939063236,['40034']
1.9500000000000004,0.6561999999999998,0.6632204159420932,0.6491795840579063,['40034']
2.0500000000000003,0.6571999999999998,0.6643800167130722,0.6500199832869273,['40034']
2.1500000000000004,0.6611999999999999,0.6686012323298217,0.6537987676701781,['40034']
2.2500000000000004,0.519,0.528674502571192,0.5093254974288081,['40004']
2.35,0.5194000000000001,0.5291043577840062,0.509695642215994,['40004']
2.45,0.5094000000000001,0.5184844130245163,0.5003155869754838,['40004']
2.5500000000000003,0.4136,0.4267415432883661,0.40045845671163394,['40005']
2.6500000000000004,0.40940000000000004,0.42241562753001183,0.39638437246998826,['40005']
2.7500000000000004,0.40880000000000005,0.4220909834098159,0.3955090165901842,['40005']
2.8500000000000005,0.40520000000000006,0.41802075816790885,0.3923792418320913,['40005']
2.95,0.39820000000000005,0.41121641425278105,0.38518358574721906,['40005']
3.0500000000000003,0.41,0.4235970585054268,0.39640294149457317,['40005']
3.1500000000000004,0.40620000000000006,0.41963451673861035,0.39276548326138977,['40005']
3.2500000000000004,0.3874,0.4000049577547884,0.37479504224521165,['40005']
3.3500000000000005,0.3990000000000001,0.4122844269729636,0.3857155730270366,['40005']
3.4500000000000006,0.38920000000000005,0.40205664964133353,0.37634335035866656,['40005']
3.5500000000000007,0.408,0.42120848212324186,0.3947915178767581,['40005']
3.6500000000000004,0.39300000000000007,0.40563503066874007,0.38036496933126007,['40005']
3.7500000000000004,0.3898000000000001,0.4028009168907428,0.37679908310925736,['40005']
3.8500000000000005,0.39740000000000003,0.4103789429461725,0.38442105705382756,['40005']
3.9500000000000006,0.40220000000000006,0.4151422038308783,0.3892577961691218,['40005']
4.050000000000001,0.2858,0.30053476976406485,0.27106523023593515,['50005']
4.15,0.2838,0.29900757179828524,0.26859242820171475,['50005']
4.250000000000001,0.28840000000000005,0.30320884060282915,0.27359115939717094,['50005']
4.3500000000000005,0.28420000000000006,0.2992930924597977,0.26910690754020244,['50005']
4.450000000000001,0.27420000000000005,0.2890235434360345,0.25937645656396563,['50005']
4.550000000000001,0.2828,0.2975653865509847,0.2680346134490153,['50005']
4.65,0.2904000000000001,0.3049750252143865,0.2758249747856137,['50005']
4.750000000000001,0.2876,0.3022650932489364,0.27293490675106363,['50005']
4.8500000000000005,0.3004,0.3149766717737624,0.2858233282262376,['50005']
4.950000000000001,0.2816,0.2957959768948812,0.26740402310511885,['50005']
5.050000000000001,0.28220000000000006,0.29677712728901007,0.26762287271099006,['50005']
5.150000000000001,0.30080000000000007,0.3161986181198185,0.28540138188018166,['50005']
5.250000000000001,0.2926,0.30761269329600793,0.2775873067039921,['50005']
5.3500000000000005,0.2908,0.30522156163527375,0.27637843836472625,['50005']
5.450000000000001,0.2952,0.31057490943062754,0.2798250905693725,['50005']
5.550000000000001,0.2886,0.303772348532775,0.27342765146722503,['50005']
5.650000000000001,0.2746,0.28908790392016737,0.26011209607983266,['50005']
5.750000000000001,0.2826,0.2974724228019513,0.26772757719804874,['50005']
5.8500000000000005,0.2916,0.3065571975984808,0.2766428024015192,['50005']
5.950000000000001,0.28620000000000007,0.30084917199025263,0.2715508280097475,['50005']
6.050000000000001,0.2906,0.3053284269356914,0.27587157306430865,['50005']
6.150000000000001,0.2954,0.31014840194732973,0.28065159805267026,['50005']
6.250000000000001,0.2818,0.29651716820587437,0.2670828317941256,['50005']
6.350000000000001,0.28,0.2949879951961562,0.26501200480384385,['50005']
6.450000000000001,0.276,0.2902862171340072,0.26171378286599284,['50005']
6.550000000000001,0.27380000000000004,0.28837032051809436,0.25922967948190573,['50005']
6.650000000000001,0.28120000000000006,0.29562866036747704,0.2667713396325231,['50005']
6.750000000000001,0.2806,0.2949810486404852,0.26621895135951484,['50005']
6.850000000000001,0.28320000000000006,0.2979672285822358,0.26843277141776434,['50005']
6.950000000000001,0.2856,0.3002468617799172,0.2709531382200828,['50005']
7.050000000000002,0.2876,0.302100515852893,0.27309948414710705,['50005']
7.150000000000001,0.2806,0.29545175275851304,0.265748247241487,['50005']
7.250000000000001,0.292,0.30660082189467425,0.2773991781053257,['50005']
7.350000000000001,0.2854,0.30006790237218667,0.2707320976278133,['50005']
7.450000000000001,0.28180000000000005,0.2967971677326088,0.2668028322673913,['50005']
