solver,time,attacker,|Q|,|X|,|T|,rho,k,EU,Lower,Upper
RME,15,att,20,20,20,0.95,10000,-15.71575075003,-17.857826783024414,-13.573674717035587
RME,30,att,20,20,20,0.95,10000,-15.26504259207,-17.19163437181406,-13.33845081232594
RME,45,att,20,20,20,0.95,10000,-15.05638517718,-16.527175067256785,-13.585595287103214
RME,60,att,20,20,20,0.95,10000,-15.13768486269,-16.737209085268272,-13.538160640111727
RME,75,att,20,20,20,0.95,10000,-14.57491506732,-15.587321320227275,-13.562508814412723
RME,90,att,20,20,20,0.95,10000,-14.40052009609,-15.65903148208748,-13.14200871009252
RME,105,att,20,20,20,0.95,10000,-14.18326869583,-15.885890630087212,-12.480646761572787
RME,120,att,20,20,20,0.95,10000,-14.10422115939,-16.107152963540127,-12.101289355239876
RME,135,att,20,20,20,0.95,10000,-14.727932413,-16.027957485525175,-13.427907340474825
RME,150,att,20,20,20,0.95,10000,-14.4060539367,-15.684701410414108,-13.12740646298589
RME,165,att,20,20,20,0.95,10000,-13.91388543089,-15.044106679837498,-12.783664181942502
RME,180,att,20,20,20,0.95,10000,-14.34623154575,-15.835851165103534,-12.856611926396464
RME,195,att,20,20,20,0.95,10000,-14.046588347810001,-15.193774186119626,-12.899402509500376
RME,210,att,20,20,20,0.95,10000,-14.05751812242,-15.289492606863124,-12.825543637976875
RME,225,att,20,20,20,0.95,10000,-14.11867489691,-15.540167008188165,-12.697182785631837
RME,240,att,20,20,20,0.95,10000,-13.88504104551,-15.357630777750812,-12.41245131326919
RME,255,att,20,20,20,0.95,10000,-13.73775278027,-16.074542991389404,-11.400962569150597
RME,270,att,20,20,20,0.95,10000,-14.17110845327,-15.467407722782177,-12.874809183757822
RME,285,att,20,20,20,0.95,10000,-13.70111322641,-14.938465677470669,-12.46376077534933
RME,300,att,20,20,20,0.95,10000,-14.03054851133,-14.98319072752006,-13.07790629513994
RME,315,att,20,20,20,0.95,10000,-13.78225369699,-15.693925085843546,-11.870582308136456
RME,330,att,20,20,20,0.95,10000,-13.68219781559,-15.48836422847624,-11.87603140270376
RME,345,att,20,20,20,0.95,10000,-13.67514776553,-15.14664658380847,-12.203648947251528
RME,360,att,20,20,20,0.95,10000,-13.79461145697,-14.844270011429366,-12.744952902510633
RME,375,att,20,20,20,0.95,10000,-13.96498496059,-14.970430047422642,-12.959539873757357
RME,390,att,20,20,20,0.95,10000,-13.59210580417,-14.784249509873701,-12.399962098466299
RME,405,att,20,20,20,0.95,10000,-13.74305485027,-15.364478669658608,-12.12163103088139
RME,420,att,20,20,20,0.95,10000,-13.63035610496,-14.840427342167251,-12.42028486775275
RME,435,att,20,20,20,0.95,10000,-13.40681479481,-15.364355152081597,-11.449274437538403
RME,450,att,20,20,20,0.95,10000,-13.46004560568,-14.489412690779362,-12.430678520580637
RME,465,att,20,20,20,0.95,10000,-13.81687171843,-15.231720989966407,-12.402022446893595
RME,480,att,20,20,20,0.95,10000,-13.40353299152,-14.988972524975496,-11.818093458064505
RME,495,att,20,20,20,0.95,10000,-13.6013405989,-14.85549834781028,-12.347182849989721
RME,510,att,20,20,20,0.95,10000,-13.40298379831,-15.074629073101354,-11.731338523518646
