solver,metric_1,pr_diff_1,metric_2,pr_diff_2,metric_3,pr_diff_3,metric_4,pr_diff_4
APS_A,0.255,0.145,0.254,0.140,0.121,0.085,0.121,0.080
APS_B,0.266,0.150,0.247,0.135,0.133,0.090,0.127,0.085
MCTS,0.171,0.625,0.162,0.550,0.108,0.570,0.116,0.625
SA,0.216,0.275,0.259,0.145,0.122,0.345,0.133,0.090
RME,0.167,0.830,0.156,0.810,0.079,0.755,0.077,0.765
